 ,bkg p,bkg n,bkg mu,bkg v,sig 0.10,sig 0.65,sig 1.90,sig 3.09,sig 4.80
Total,638739,218908,23689,24,49,830,1364,1987,2798
Fiducial volume,566577,200440,23056,22,49,815,1332,1931,2718
Track-vertex distance,400860,155000,20589,16,46,679,1098,1608,2203
Track-veto distance,43554,38882,9,4,46,663,1010,1406,1823
N_veto,26880,34146,8,4,45,662,995,1359,1701
N track downward,13603,26394,5,4,44,613,867,1185,1461
Track velocity,10567,20791,3,3,39,539,794,1062,1313
N digi before,5911,16799,1,0,39,531,778,1044,1287
Angle to CMS,31,154,0,0,23,210,211,318,515
Open angle,17,70,0,0,6,145,145,194,257
N_hits vs N_veto,12,59,0,0,6,138,139,184,249
N_hits vs N_veto 2,3,6,0,0,2,107,116,153,233
