 ,bkg p,bkg n,bkg mu,bkg v,sig 0.10,sig 0.65,sig 1.90,sig 3.09,sig 4.80
Total,638739,218908,23689,24,49,830,1364,1987,2798
N_hits vs N_veto,181259,110216,16994,8,47,667,1174,1726,2415
N_hits vs N_veto 2,103918,27400,12673,8,25,499,958,1432,2099
Fiducial volume,99493,25861,12356,7,25,489,934,1393,2041
Track-vertex distance,81767,21555,11127,7,23,423,796,1168,1665
Track-veto distance,7052,4442,2,3,23,415,730,1018,1374
N_veto,5635,4036,2,3,23,415,719,984,1297
N track downward,1915,3185,2,3,22,392,638,872,1124
Track velocity,1701,2879,2,3,20,360,613,814,1063
N digi before,968,2309,0,0,20,354,599,801,1042
Angle to CMS,8,18,0,0,13,154,169,253,448
Open angle,3,6,0,0,2,107,116,153,233
