 ,bkg p,bkg n,bkg mu,bkg v,sig 0.08,sig 0.88,sig 1.90,sig 3.48,sig 4.70
Total,638739,218908,23689,24,2854,1252,1798,3045,3681
N_hits vs N_veto,181259,110216,16994,8,2527,1050,1510,2518,3054
N_hits vs N_veto 2,103918,27400,12673,8,2058,794,1249,2191,2729
Fiducial volume,99493,25861,12356,7,2046,774,1228,2142,2664
Track-vertex distance,81767,21555,11127,7,1914,671,1032,1753,2120
Track-veto distance,7052,4442,2,3,1884,648,952,1439,1632
N_veto,5635,4036,2,3,1873,636,926,1323,1473
N track downward,1915,3185,2,3,1776,589,820,1116,1245
Track velocity,1701,2879,2,3,1720,560,772,1048,1160
N digi before,968,2309,0,0,1695,551,756,1030,1135
Angle to CMS,8,18,0,0,1679,383,331,329,393
Open angle,3,6,0,0,110,285,245,235,286
