ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000320322
  Energy(MeV/n)              u              v              w              x              y              z
   6.828510e+02   5.676102e-01  -1.124681e-01  -8.155793e-01  -5.220306e+01   7.387894e+01   7.609314e+01
   5.821512e+03   1.662875e-01  -3.422413e-02  -9.854832e-01   4.666867e+01  -7.047584e+01   1.117953e+02
   4.608089e+00   3.199556e-01   2.731446e-01  -9.072047e-01   6.186734e+00  -7.306391e+01   9.041230e+01
   7.641879e+01  -2.046116e-01  -4.446415e-01  -8.720252e-01   3.277648e+01   3.395104e+01   8.967345e+01
   1.094296e+02   8.806662e-02  -2.876799e-01  -9.536690e-01   4.490102e+01   1.094197e+02   7.599747e+01
   1.977819e+02  -4.356051e-01  -7.220535e-01  -5.374821e-01   4.568682e+01   5.946437e+01   6.914116e+01
   5.592028e+02   3.364203e-01  -1.825479e-01  -9.238494e-01  -5.282771e+01   3.866987e+01   8.136455e+01
   2.518462e+02   7.036916e-01  -6.883201e-01   1.761635e-01  -1.071479e+02   1.504559e+01  -8.086075e+01
   1.549891e+02  -8.161840e-01   4.277897e-01  -3.883809e-01   7.457114e+01  -1.000178e+02  -9.398921e+00
   2.576059e+03  -3.908444e-01   6.857409e-01  -6.140034e-01   9.267332e+01   1.936806e+00   1.060374e+02
   1.533774e+03   1.323568e-01  -7.209303e-01  -6.802508e-01  -3.903852e+01   1.079674e+02   2.498488e+01
   3.770003e+02  -2.088060e-01  -4.424344e-01  -8.721536e-01  -5.803689e+00   5.289506e-01   1.157799e+02
   1.297137e+02  -9.947515e-02  -6.563313e-02  -9.928731e-01  -3.575332e+01  -4.877091e+01   1.075239e+02
   4.246883e+02  -4.361243e-01   3.674442e-01  -8.214501e-01   1.046900e+02  -5.672681e+01   4.077937e+01
   1.881071e+02  -2.454716e-01   3.856238e-01  -8.894032e-01   6.488444e+01  -9.988235e+01   5.122053e+01
   2.052181e+02  -6.441631e-01   1.547603e-01  -7.490682e-01   1.209184e+02  -7.611195e+00   2.794256e+01
   2.125761e+03   4.631415e-01   1.014405e-01  -8.804600e-01  -8.377394e+01   1.313359e+01   7.102320e+01
   2.117016e+01  -5.316421e-01  -8.391257e-01   1.149988e-01   4.798822e+00   1.204725e+02   3.167709e+01
   3.017271e+02   5.318683e-01   2.707180e-02  -8.463943e-01  -4.587242e+01   5.783266e+01   9.117211e+01
   1.426637e+02   6.566172e-02  -8.396202e-01  -5.391906e-01  -7.093088e+01   7.944450e+01   5.311545e+01
   6.383986e+02  -2.005785e-01   5.940229e-01  -7.790411e-01   9.572376e+01  -4.109791e+01   7.237972e+01
   1.691560e+01   5.194875e-01   8.521927e-01  -6.245272e-02  -5.176203e+01  -8.200885e+01   5.160594e+01
   1.967378e+02   4.044487e-01  -1.176593e-01  -9.069606e-01  -3.212079e+01  -1.670343e+00   9.615117e+01
   1.174183e+02  -3.573434e-01   2.429114e-01  -9.018313e-01  -4.193818e+01  -6.100723e+01   1.110706e+02
   1.404561e+02  -1.085234e-01  -5.406106e-01  -8.342439e-01   5.785876e+01   9.769878e+01   4.903120e+01
   1.253367e+02   3.063306e-01  -6.986069e-01  -6.466143e-01   7.493373e+00   8.071804e+01   7.099328e+01
   1.951864e+02   2.532181e-02  -6.957487e-01  -7.178388e-01   2.334426e+01   1.236987e+02   2.023838e+01
   2.293066e+02   5.687560e-02   6.887744e-02  -9.960025e-01   3.845771e+01   8.155969e+01   1.082376e+02
   1.888454e+02  -1.944541e-01  -5.010711e-02  -9.796310e-01  -5.778111e+01   6.483235e+01   1.102325e+02
   5.530966e+01   5.042256e-02   7.633562e-01  -6.440069e-01   2.728711e+01  -2.552462e+01   1.271594e+02
   2.611207e+02  -6.580690e-02  -4.454056e-01  -8.929072e-01   7.880111e+01   7.129597e+01   7.062181e+01
   1.755232e+02   8.742054e-01   2.365252e-01  -4.240527e-01  -1.236789e+02   2.803393e+00  -1.758674e+01
   1.591210e+02   1.339290e-02  -6.590301e-02  -9.977361e-01  -4.021794e+01  -6.615072e+01   1.040565e+02
   8.783670e+01   7.014362e-01   5.146129e-01  -4.931134e-01  -1.109175e+02  -1.354569e+01   3.088058e+01
   1.510271e+02  -6.863533e-01   4.159221e-01  -5.965970e-01   4.644647e+01  -1.096277e+02   3.775537e+01
   8.834031e+02   3.309983e-01  -8.671368e-02  -9.396387e-01  -7.288397e+01   5.469655e+01   7.570206e+01
   1.057689e+02   3.882913e-01  -5.553730e-01  -7.353847e-01   4.493406e+01   7.580171e+01   1.024624e+02
   1.297427e+02  -1.221865e-01  -6.398893e-01  -7.586911e-01  -2.723151e+01   5.977810e+01   8.577398e+01
   1.509162e+02  -6.291192e-02   6.897440e-01  -7.213150e-01   5.434594e+00  -8.512005e+01   5.676723e+01
   8.758598e+01  -3.179106e-01   5.532681e-01  -7.699528e-01   5.407663e+01   5.004811e+00   1.111464e+02
   1.157161e+02   3.004418e-01  -9.248577e-02  -9.493056e-01  -1.187396e+02   1.581353e+00   6.760668e+01
   2.841564e+01   1.129131e-01   9.879447e-01  -1.059055e-01   7.554270e+01  -1.070606e+02   2.605939e+01
   3.193687e+02  -7.303686e-01   1.263723e-01  -6.712613e-01   8.769607e+01   6.742449e+01   6.624862e+01
   4.070235e+02  -4.280373e-01  -3.880357e-01  -8.162183e-01  -3.218914e+01   6.748799e+01   1.073125e+02
   2.887073e+02   1.318788e-01   2.840401e-01  -9.496995e-01   5.540835e+01  -3.079351e+01   1.037808e+02
   6.288383e+01  -3.513903e-01   1.593041e-02  -9.360935e-01  -1.913080e+01   2.414564e+01   1.144192e+02
   1.464242e+02   7.703593e-02  -2.687528e-02  -9.966660e-01  -2.622283e+01  -1.168837e+01   9.862283e+01
   2.508113e+02  -8.489287e-01  -3.019043e-01  -4.337902e-01   1.215718e+02  -1.137773e+01   5.284529e-01
   6.697148e+01  -2.290110e-01   5.511475e-01  -8.023655e-01  -4.315831e+01  -1.241475e+02   5.167241e+01
   3.625313e+01   6.595492e-01   3.448702e-02  -7.508698e-01  -7.044070e+01  -3.256562e+00   7.115558e+01
   9.085052e+01   6.190427e-02   6.014126e-01  -7.965367e-01   6.522633e+01  -1.038290e+02   5.221820e+01
   8.345842e+01  -4.711091e-01   6.555225e-02  -8.796358e-01   6.244136e+01  -9.388798e+01   7.324479e+01
   5.924386e+03  -2.674765e-01  -5.468667e-02  -9.620113e-01  -1.079569e+01   6.885072e+01   1.030366e+02
   1.184058e+02  -5.392847e-01  -8.405328e-01   5.173530e-02   5.380842e+01   8.081145e+01  -5.909436e+01
   1.631422e+02  -1.385256e-01   1.078316e-01  -9.844709e-01   6.898666e+01  -1.961107e+01   8.972219e+01
   3.087742e+02  -6.678861e-01  -1.227177e-01  -7.340766e-01   6.099343e+01   5.684923e+01   7.122816e+01
   1.212767e+02  -4.654798e-03  -5.326216e-01  -8.463407e-01   8.054913e+00  -1.809545e+01   1.294993e+02
   2.894112e+01   8.735619e-01   4.053164e-01  -2.694591e-01  -1.176211e+02   2.682579e+01   3.014790e+01
   4.618812e+01   9.218424e-01  -1.768283e-01  -3.448744e-01  -1.042455e+02   3.715108e+01  -7.734112e+00
   2.469640e+01  -2.772611e-01  -2.405770e-01  -9.301876e-01  -3.786437e+01   4.396244e+01   1.074213e+02
   1.753371e+02  -4.443902e-01  -2.826398e-02  -8.953874e-01   4.204224e+00  -5.942013e+00   1.097845e+02
   1.737741e+02   8.435900e-01  -1.557427e-01  -5.139067e-01  -6.997388e+01  -4.940746e+01   9.469730e+01
   1.540194e+02   9.804049e-02   4.469009e-01  -8.891950e-01   6.812205e+00  -8.952893e+00   1.087127e+02
   1.205662e+02   2.808139e-01  -8.327542e-01   4.771414e-01  -3.398491e+01   4.251793e+01  -1.153737e+02
   1.187329e+03   1.688333e-01  -1.016899e-01  -9.803849e-01   5.367013e+01  -5.284321e+01   1.167245e+02
   1.193322e+02   5.398516e-02   4.528058e-02  -9.975145e-01   1.038220e+01  -3.365833e+01   9.928318e+01
   2.927283e+01   1.445131e-01   5.088001e-01   8.486686e-01  -6.462002e+01  -1.126332e+02  -3.930130e+01
   3.187462e+03  -5.612113e-02   4.662735e-01  -8.828587e-01   7.929597e+01  -8.164547e+01   6.510748e+01
   1.733481e+03  -6.561003e-02  -2.709791e-01  -9.603466e-01   2.135106e+01  -3.710067e+01   1.131390e+02
   6.668421e+02   2.519213e-01  -7.733695e-02  -9.646526e-01  -7.194464e+00   3.721317e+01   9.880200e+01
   2.375815e+02   4.392145e-01   4.169682e-01  -7.957563e-01   2.241184e+00  -6.943852e+01   9.051855e+01
   5.107652e+02   2.674181e-01  -3.115634e-02  -9.630768e-01   9.067486e+00   8.942631e+01   1.034586e+02
   7.000400e+02   6.194720e-01  -6.641690e-01  -4.184900e-01  -1.029213e+02   4.124017e+01   2.115394e+01
   3.364567e+02   2.131932e-01  -6.740291e-02  -9.746822e-01   6.087899e+01   1.996347e+01   1.145331e+02
   8.329955e+01   8.832280e-02  -2.312817e-01  -9.688694e-01  -4.018155e+01   1.192457e+01   9.670356e+01
   1.924150e+03  -4.513070e-01  -5.039814e-01  -7.364270e-01   2.027944e+00   8.800241e+01   7.432263e+01
   8.865102e+02  -5.979478e-01  -7.950269e-01  -1.019352e-01   4.856617e+01   9.288553e+01  -2.831719e+01
   2.782761e+03   3.785222e-02   2.995105e-01  -9.533418e-01  -7.930038e+00  -1.630955e+01   9.945535e+01
   6.873795e+02   9.505659e-02   1.279527e-01  -9.872144e-01  -3.562862e+01  -2.767457e+01   9.427762e+01
   3.426564e+01  -5.557932e-01  -1.073527e-01  -8.243600e-01   1.445634e+01  -4.572271e+01   1.175139e+02
   1.810281e+02  -4.006991e-01  -7.700433e-01  -4.964609e-01   5.282313e+01   2.520257e+01   1.197007e+02
   1.377693e+01   4.786468e-01  -8.623841e-01   1.648966e-01  -1.893153e+01   1.152933e+02   5.147861e+01
   1.548221e+02   1.920522e-01  -9.094244e-01   3.688674e-01  -1.108017e+02   8.775108e+01   2.935172e+00
   3.794438e+01  -7.738633e-02   5.111967e-01  -8.559727e-01   3.247124e+01  -9.947136e+01   5.448508e+01
   2.676223e+02  -1.965262e-01  -9.066199e-02  -9.762980e-01   6.139026e+01   5.028072e+01   8.540082e+01
   3.821431e+01   7.609815e-01  -3.770374e-01   5.279678e-01  -6.033888e+01   4.926626e+01  -6.725411e+01
   2.846791e+02   5.846680e-01   2.121815e-01  -7.830341e-01  -8.577291e+01   6.090354e+01   8.016756e+01
   3.190802e+02   3.850489e-01  -5.892450e-02  -9.210132e-01  -2.971289e+01  -3.303221e+01   9.826732e+01
   8.252302e+01   4.905073e-01  -1.610973e-02  -8.712881e-01  -1.994505e+01   2.808668e+01   1.030249e+02
   4.169182e+02   1.227006e-01  -2.002104e-01  -9.720393e-01   2.250749e+01   7.337274e+00   1.042064e+02
   4.102119e+02   4.752308e-01  -7.931003e-01  -3.809825e-01   1.564884e+00   1.233384e+02   7.674748e+00
   6.210863e+01   6.187367e-01   5.331935e-01  -5.769485e-01  -1.144533e+02   2.599511e+01   7.460627e+01
   3.915227e+01   4.541891e-01  -2.647009e-01  -8.506737e-01  -1.029261e+02   5.283241e+00   6.095595e+01
   7.704133e+01   7.294347e-01   2.445943e-01  -6.388260e-01  -1.221929e+02  -2.332775e+00   1.611968e+01
   1.533142e+02   2.974916e-01   9.472175e-01  -1.194900e-01  -1.109475e+02  -7.363841e+01  -2.307760e+01
   1.359438e+02   2.845236e-01  -9.383207e-01  -1.964703e-01   1.735394e+01   8.963917e+01   1.060075e+02
   1.978909e+02   8.121388e-01  -5.510005e-01  -1.919089e-01  -1.163854e+02  -5.284187e+00   4.372137e+01
   5.347898e+01  -1.636097e-01   8.768320e-02  -9.826207e-01   1.223635e+01  -3.048192e+01   9.701124e+01
   2.057525e+01   5.796659e-01  -7.327867e-01  -3.563861e-01  -2.786754e+01   9.085058e+01   4.846440e+01
   4.997381e+01   7.790312e-01   4.979779e-01  -3.809571e-01  -9.875416e+01  -2.823534e+01   2.364268e+01
   5.169177e+02  -6.852793e-01   7.281008e-01  -1.617027e-02   1.275167e+02  -1.681214e+01   2.315931e+01
   3.936080e+02  -1.017035e-01  -1.197677e-01  -9.875789e-01   2.446413e+01   5.695069e+01   9.183171e+01
   3.124057e+02  -3.914876e-02   1.302438e-01  -9.907088e-01   7.530124e+00  -2.268249e+01   9.765831e+01
   4.067585e+02   3.849350e-01  -1.958292e-01  -9.019290e-01  -2.792691e+01  -2.251538e+01   1.038431e+02
   9.698586e+01  -2.577236e-01  -3.207824e-01  -9.114149e-01  -2.620758e+01   3.460017e+01   1.049524e+02
   8.644405e+01   6.936515e-01  -3.863637e-01  -6.079233e-01  -9.863364e+01   5.608248e+01   1.630863e+01
   1.481077e+02  -9.343180e-02   5.267809e-01   8.448505e-01  -4.624267e+01  -8.055795e+01  -7.324864e+01
   2.825821e+02   1.200866e-01  -6.504314e-01  -7.500122e-01   5.215610e+01   1.273385e+02   3.125054e+01
   2.059478e+02   3.284646e-01   3.419950e-01  -8.804263e-01   2.722753e+01  -2.436581e+01   1.142745e+02
   3.489503e+02   6.448422e-01  -4.128443e-01  -6.432248e-01  -9.250310e+01  -2.087271e+01   7.612778e+01
   3.503772e+02   6.220794e-01   4.423081e-01  -6.460502e-01  -8.613588e+01   1.053823e+01   7.906165e+01
   2.160613e+02   2.127500e-01  -2.893346e-02  -9.766782e-01   1.433595e+01  -1.827645e+01   1.060521e+02
   1.431477e+02   8.873879e-01   3.354521e-02  -4.598016e-01  -8.123396e+01   5.766841e+01   6.491597e+01
   5.197897e+02   5.599532e-01   2.951452e-01  -7.741716e-01  -3.338873e+01  -1.128179e+02   6.200977e+01
   1.020653e+02   8.600000e-01   5.059351e-01   6.655594e-02  -8.020761e+01  -5.752863e+01  -2.878329e+01
   2.204281e+02   2.698762e-01  -2.351970e-04  -9.628950e-01   4.447644e+01  -2.320238e+01   1.163248e+02
   2.516821e+03  -1.599431e-01  -2.078606e-01  -9.649934e-01   2.926316e+01   5.115754e+01   8.775804e+01
   5.204205e+02  -1.532625e-01   1.095122e-02  -9.881248e-01  -1.588037e+01  -8.349783e+01   1.027395e+02
   1.888356e+02  -5.656970e-01   2.212972e-01  -7.943641e-01   9.177853e+00  -8.565145e+01   9.548981e+01
   1.028049e+01  -9.409976e-01   1.931627e-01  -2.778698e-01   9.413378e+01  -2.406425e+01   2.437121e+01
   7.495921e+02   1.751358e-01  -5.615920e-02  -9.829413e-01  -1.049593e+02  -3.382802e+01   8.496704e+01
   2.725267e+02   1.141586e-01  -2.180055e-01  -9.692479e-01  -1.039589e+02   5.134941e+01   7.937882e+01
   4.276258e+02  -4.452587e-02  -4.571570e-01  -8.882707e-01  -9.189784e+00   1.227677e+02   4.985535e+01
   2.947786e+02  -7.103636e-02  -6.963474e-01  -7.141807e-01  -1.993210e+01   8.300208e+01   6.107365e+01
   2.136606e+03   1.314407e-01  -4.802698e-01  -8.672164e-01  -3.579526e+01   1.268257e+02   3.964929e+01
   2.485392e+02  -8.561317e-01   3.000684e-01  -4.207107e-01   9.796895e+01  -1.942875e+01   2.447223e+01
   1.553038e+02   8.477947e-01   3.105597e-01  -4.298800e-01  -8.474822e+01  -3.839653e+01   3.774657e+01
   1.868929e+02  -4.472104e-01   8.037033e-01  -3.925097e-01   2.364422e+01  -1.127059e+02  -2.945173e+00
   2.765056e+01   8.181751e-01  -5.382823e-01   2.020932e-01  -1.036578e+02   2.853543e+01   8.430965e-01
   1.809378e+02   2.288455e-01   9.221737e-01  -3.118099e-01  -9.807408e+01  -7.287227e+01   3.321029e+01
   1.042830e+02  -3.080356e-01   5.791042e-01  -7.548194e-01   6.628724e+01  -8.047124e+01   4.369248e+01
   1.084518e+03   2.264189e-02   4.707826e-01  -8.819586e-01  -3.253355e+01  -5.669190e+01   8.228710e+01
   2.482091e+02  -2.881479e-01   4.117003e-01  -8.645656e-01   3.955050e+01   6.169918e-01   1.027772e+02
   1.501704e+02   7.283970e-01   8.455101e-02  -6.799183e-01  -8.046169e+01  -9.379969e+01   4.921339e+01
   6.542439e+02   3.157837e-01  -1.643864e-01  -9.344826e-01  -6.345595e+01  -7.791170e+01   9.927341e+01
   3.529014e+02   5.375154e-01  -2.393302e-01  -8.085779e-01  -6.096477e+01  -6.381245e+01   1.020344e+02
   1.000207e+02   2.997775e-01   3.744445e-02  -9.532740e-01   3.890653e+01   4.273630e+01   1.188153e+02
   4.596032e+01   6.276956e-02  -9.170732e-01  -3.937469e-01   1.228708e+01   7.922853e+01   7.139838e+01
   1.943967e+02   1.456975e-01   9.884637e-01  -4.137398e-02  -7.110602e+01  -9.009921e+01   1.402417e+01
   2.341462e+02  -9.335159e-01  -2.153713e-01  -2.866413e-01   1.174784e+02  -4.560923e+01   5.404803e-01
